,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,nfl_weekend,nfl_weekend_lower,nfl_weekend_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,七夕节,七夕节_lower,七夕节_upper,万圣节,万圣节_lower,万圣节_upper,中秋节,中秋节_lower,中秋节_upper,假前,假前_lower,假前_upper,假期,假期_lower,假期_upper,儿童节,儿童节_lower,儿童节_upper,元宵节,元宵节_lower,元宵节_upper,元旦,元旦_lower,元旦_upper,加班,加班_lower,加班_upper,劳动节,劳动节_lower,劳动节_upper,双十一,双十一_lower,双十一_upper,双十二,双十二_lower,双十二_upper,国庆节,国庆节_lower,国庆节_upper,圣诞节,圣诞节_lower,圣诞节_upper,妇女节,妇女节_lower,妇女节_upper,小年,小年_lower,小年_upper,平安夜,平安夜_lower,平安夜_upper,建党日,建党日_lower,建党日_upper,建军节,建军节_lower,建军节_upper,情人节,情人节_lower,情人节_upper,感恩节,感恩节_lower,感恩节_upper,教师节,教师节_lower,教师节_upper,春节,春节_lower,春节_upper,春节收假,春节收假_lower,春节收假_upper,植树节,植树节_lower,植树节_upper,母亲节,母亲节_lower,母亲节_upper,清明,清明_lower,清明_upper,父亲节,父亲节_lower,父亲节_upper,秋分,秋分_lower,秋分_upper,端午节,端午节_lower,端午节_upper,重阳节,重阳节_lower,重阳节_upper,除夕,除夕_lower,除夕_upper,青年节,青年节_lower,青年节_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2016-06-01,19445.30139000465,14576.107252934602,26627.350022974264,19445.30139000465,19445.30139000465,0.0,0.0,0.0,0.0,0.0,0.0,0.053692802520920936,0.053692802520920936,0.053692802520920936,0.0,0.0,0.0,0.05456553132485995,0.05456553132485995,0.05456553132485995,-0.0008727288039390047,-0.0008727288039390047,-0.0008727288039390047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20489.37411749796
1,2016-06-02,19478.753378449048,14952.59274028521,27379.620237910327,19478.753378449048,19478.753378449048,0.0,0.0,0.0,0.0,0.0,0.0,0.07969937464297278,0.07969937464297278,0.07969937464297278,0.0,0.0,0.0,0.0854219820116926,0.0854219820116926,0.0854219820116926,-0.005722607368719853,-0.005722607368719853,-0.005722607368719853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21031.19784153613
2,2016-06-03,19512.205366893446,16886.86765954121,29229.78210549495,19512.205366893446,19512.205366893446,0.0,0.0,0.0,0.0,0.0,0.0,0.17988802546686716,0.17988802546686716,0.17988802546686716,0.0,0.0,0.0,0.1909649929851523,0.1909649929851523,0.1909649929851523,-0.011076967518285113,-0.011076967518285113,-0.011076967518285113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23022.217462847915
3,2016-06-04,19545.65735533784,10363.122316725707,22419.624575407342,19545.65735533784,19545.65735533784,0.034968526766475425,0.034968526766475425,0.034968526766475425,0.0,0.0,0.0,-0.16033837352678237,-0.16033837352678237,-0.16033837352678237,0.034968526766475425,0.034968526766475425,0.034968526766475425,-0.17850252238405157,-0.17850252238405157,-0.17850252238405157,-0.016804377909206226,-0.016804377909206226,-0.016804377909206226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16411.73844547118
4,2016-06-05,19579.109343782235,9162.687714494215,21027.901211852477,19579.109343782235,19579.109343782235,0.034968526766475425,0.034968526766475425,0.034968526766475425,0.0,0.0,0.0,-0.23669796351307004,-0.23669796351307004,-0.23669796351307004,0.034968526766475425,0.034968526766475425,0.034968526766475425,-0.248902502228692,-0.248902502228692,-0.248902502228692,-0.022763988050853494,-0.022763988050853494,-0.022763988050853494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14944.774034709259
5,2016-06-06,19612.561332226636,13863.337884522709,25770.04590557164,19612.561332226636,19612.561332226636,0.0,0.0,0.0,0.0,0.0,0.0,0.010579773191919568,0.010579773191919568,0.010579773191919568,0.0,0.0,0.0,0.039388607226985,0.039388607226985,0.039388607226985,-0.02880883403506543,-0.02880883403506543,-0.02880883403506543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19820.057782834203
6,2016-06-07,19646.01332067103,14043.967916335374,26094.588097601714,19646.01332067103,19646.01332067103,0.0,0.0,0.0,0.0,0.0,0.0,0.02227458983344508,0.02227458983344508,0.02227458983344508,0.0,0.0,0.0,0.05706391106495923,0.05706391106495923,0.05706391106495923,-0.03478932123151415,-0.03478932123151415,-0.03478932123151415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20083.620209251378
7,2016-06-08,19679.465309115425,13935.915352836062,26052.871691510874,19679.465309115425,19679.465309115425,0.0,0.0,0.0,0.0,0.0,0.0,0.014008733377746456,0.014008733377746456,0.014008733377746456,0.0,0.0,0.0,0.054565531324951136,0.054565531324951136,0.054565531324951136,-0.040556797947204674,-0.040556797947204674,-0.040556797947204674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19955.149691647435
8,2016-06-09,19712.917297559823,14330.019216302877,26388.837594136498,19712.917297559823,19712.917297559823,0.0,0.0,0.0,0.0,0.0,0.0,0.03945485053927692,0.03945485053927692,0.03945485053927692,0.0,0.0,0.0,0.08542198201148771,0.08542198201148771,0.08542198201148771,-0.04596713147221079,-0.04596713147221079,-0.04596713147221079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20490.68750322817
9,2016-06-10,19746.36928600422,15949.310583242064,28189.446142470133,19746.36928600422,19746.36928600422,0.0,0.0,0.0,0.0,0.0,0.0,0.1400807953735227,0.1400807953735227,0.1400807953735227,0.0,0.0,0.0,0.19096499298496392,0.19096499298496392,0.19096499298496392,-0.05088419761144126,-0.05088419761144126,-0.05088419761144126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22512.456401326996
