,dt_ymd,_c2
0,2014-03-26,6
1,2014-03-27,7
2,2014-03-28,4
3,2014-03-29,6
4,2014-03-31,4
5,2014-04-01,10
6,2014-04-02,3
7,2014-04-03,3
8,2014-04-04,2
9,2014-04-05,4
10,2014-04-06,2
11,2014-04-07,2
12,2014-04-08,2
13,2014-04-09,4
14,2014-04-10,1
15,2014-04-11,8
16,2014-04-13,1
17,2014-04-14,3
18,2014-04-15,3
19,2014-04-17,8
20,2014-04-18,14
21,2014-04-19,7
22,2014-04-20,4
23,2014-04-21,3
24,2014-04-22,14
25,2014-04-23,3
26,2014-04-24,9
27,2014-04-25,10
28,2014-04-26,6
29,2014-04-27,4
30,2014-04-28,16
31,2014-04-29,13
32,2014-04-30,6
33,2014-05-01,6
34,2014-05-02,2
35,2014-05-03,4
36,2014-05-04,5
37,2014-05-05,11
38,2014-05-06,13
39,2014-05-07,7
40,2014-05-08,9
41,2014-05-09,10
42,2014-05-10,7
43,2014-05-11,5
44,2014-05-12,11
45,2014-05-13,8
46,2014-05-14,10
47,2014-05-15,9
48,2014-05-16,16
49,2014-05-17,7
50,2014-05-18,14
51,2014-05-19,10
52,2014-05-20,22
53,2014-05-21,23
54,2014-05-22,16
55,2014-05-23,14
56,2014-05-24,13
57,2014-05-25,8
58,2014-05-26,36
59,2014-05-27,12
60,2014-05-28,22
61,2014-05-29,54
62,2014-05-30,27
63,2014-05-31,16
64,2014-06-01,15
65,2014-06-02,10
66,2014-06-03,20
67,2014-06-04,23
68,2014-06-05,19
69,2014-06-06,31
70,2014-06-07,13
71,2014-06-08,15
72,2014-06-09,23
73,2014-06-10,29
74,2014-06-11,28
75,2014-06-12,27
76,2014-06-13,40
77,2014-06-14,30
78,2014-06-15,29
79,2014-06-16,30
80,2014-06-17,33
81,2014-06-18,27
82,2014-06-19,35
83,2014-06-20,38
84,2014-06-21,21
85,2014-06-22,16
86,2014-06-23,38
87,2014-06-24,34
88,2014-06-25,41
89,2014-06-26,31
90,2014-06-27,47
91,2014-06-28,14
92,2014-06-29,16
93,2014-06-30,40
94,2014-07-01,39
95,2014-07-02,27
96,2014-07-03,47
97,2014-07-04,39
98,2014-07-05,16
