,level_0,index,ds,deviation
0,0,0,2017-01-01,5857.635258322807
1,1,1,2017-01-02,-6232.49985586293
2,2,2,2017-01-03,-1806.948362740768
3,3,3,2017-01-04,1723.7593993747578
4,4,4,2017-01-05,1630.8481722664583
5,5,5,2017-01-06,657.5747188614696
6,6,6,2017-01-07,6876.607039483395
7,7,7,2017-01-08,-2.734299542484223
8,8,8,2017-01-09,5896.508641862842
9,9,9,2017-01-10,5547.071586621467
10,10,10,2017-01-11,5102.71866996678
11,11,11,2017-01-12,6639.413449137166
12,12,12,2017-01-13,11153.659309387396
13,13,13,2017-01-14,14208.908588656228
14,14,14,2017-01-15,11030.272777153914
15,15,15,2017-01-16,11069.132197707579
16,16,16,2017-01-17,8487.679979728797
17,17,17,2017-01-18,8203.199742274213
18,18,18,2017-01-19,5494.964098782279
19,19,19,2017-01-20,-199.37222842885967
20,20,20,2017-01-21,-3900.3001864368234
21,21,21,2017-01-22,-500.2000772486681
22,22,22,2017-01-23,-7859.986745703041
23,23,23,2017-01-24,-13321.001133740458
24,24,24,2017-01-25,-19237.507511831616
25,25,25,2017-01-26,-25561.836597063186
26,26,26,2017-01-27,-35662.68175059562
27,27,27,2017-01-28,-26404.28452700401
28,28,28,2017-01-29,-22979.339315163223
29,29,29,2017-01-30,-29531.5937080613
30,30,30,2017-01-31,-28757.877228891935
31,31,31,2017-02-01,-27128.084154923505
32,32,32,2017-02-02,-25398.085663712474
33,33,33,2017-02-03,-24795.466910906885
34,34,34,2017-02-04,-9863.153023879317
35,35,35,2017-02-05,-5906.294523672073
36,36,36,2017-02-06,-6602.6851677446575
37,37,37,2017-02-07,-6049.836788005319
38,38,38,2017-02-08,-2434.4063513331457
39,39,39,2017-02-09,-1553.8872209674482
40,40,40,2017-02-10,-1591.849088972962
41,41,41,2017-02-11,4330.882667682505
42,42,42,2017-02-12,4836.199155301809
43,43,43,2017-02-13,11614.265971858622
44,44,44,2017-02-14,31910.1552503222
45,45,45,2017-02-15,8819.692958781645
46,46,46,2017-02-16,8207.67962075135
47,47,47,2017-02-17,5075.818727292888
48,48,48,2017-02-18,7842.6435863382485
49,49,49,2017-02-19,10065.003609226227
50,50,50,2017-02-20,10538.260446236403
51,51,51,2017-02-21,11140.303587840976
52,52,52,2017-02-22,7447.37147384807
53,53,53,2017-02-23,6970.914250247755
54,54,54,2017-02-24,5703.458257608781
55,55,55,2017-02-25,6524.4506329976175
56,56,56,2017-02-26,6587.120104813197
57,57,57,2017-02-27,8110.22426505675
58,58,58,2017-02-28,6230.416781877961
59,59,59,2017-03-01,6599.066411595257
60,60,60,2017-03-02,2897.841463175977
61,61,61,2017-03-03,3568.643698888867
62,62,62,2017-03-04,3460.5543665314435
63,63,63,2017-03-05,4297.298881011815
64,64,64,2017-03-06,5754.814461507522
65,65,65,2017-03-07,13650.271136779396
66,66,66,2017-03-08,17151.216025464884
67,67,67,2017-03-09,555.223621112691
68,68,68,2017-03-10,-1169.7489092068354
69,69,69,2017-03-11,-915.9634869540641
70,70,70,2017-03-12,-199.492035733354
71,71,71,2017-03-13,641.4930113916525
72,72,72,2017-03-14,3752.687713813317
73,73,73,2017-03-15,823.3855620650611
74,74,74,2017-03-16,242.41156353346742
75,75,75,2017-03-17,-1035.9299782366943
76,76,76,2017-03-18,-764.8850687950326
77,77,77,2017-03-19,267.16942349941746
78,78,78,2017-03-20,5536.587639650043
79,79,79,2017-03-21,2457.326877489584
80,80,80,2017-03-22,1039.1624812921873
81,81,81,2017-03-23,4028.756107528501
82,82,82,2017-03-24,8356.999748602713
83,83,83,2017-03-25,4789.32094523486
84,84,84,2017-03-26,2540.840741333057
85,85,85,2017-03-27,4005.0890474454827
86,86,86,2017-03-28,4767.462173765394
87,87,87,2017-03-29,4122.595661756262
88,88,88,2017-03-30,3983.2373087088927
89,89,89,2017-03-31,1929.6654825957303
90,90,90,2017-04-01,11789.023164853785
91,91,91,2017-04-02,117.932483749948
92,92,92,2017-04-03,-10569.186814766283
93,93,93,2017-04-04,-8976.286904139597
94,94,94,2017-04-05,-412.33034225140364
95,95,95,2017-04-06,3777.2661299669526
96,96,96,2017-04-07,-1096.9472036033694
97,97,97,2017-04-08,569.8904121535925
98,98,98,2017-04-09,406.0534674353876
99,99,99,2017-04-10,1701.234548370794
100,100,100,2017-04-11,1283.8779561438932
101,101,101,2017-04-12,358.7037081848248
102,102,102,2017-04-13,-861.8409843269037
103,103,103,2017-04-14,-158.9135036208536
104,104,104,2017-04-15,-3.6539984654191358
105,105,105,2017-04-16,-237.30719440202665
106,106,106,2017-04-17,2186.7630657861664
107,107,107,2017-04-18,1280.2065025565898
108,108,108,2017-04-19,1578.6611789625604
109,109,109,2017-04-20,63.372959138374426
110,110,110,2017-04-21,-403.6396704451763
111,111,111,2017-04-22,-177.46570154545407
112,112,112,2017-04-23,31.535432129967376
113,113,113,2017-04-24,4130.843655035569
114,114,114,2017-04-25,3693.8089390351815
115,115,115,2017-04-26,3596.129148332053
116,116,116,2017-04-27,4928.64201252014
117,117,117,2017-04-28,8400.943698237294
118,118,118,2017-04-29,233.9181691375852
