dt_ymd,city_id,order_cnt_sum,order_infos_cnt_sum
20140620,3301,3,3
20140903,3101,16,16
20141203,5101,4,4
20150223,5101,5,5
20150319,1101,937,984
20150506,3205,2,2
20150616,5101,432,459
20150719,3201,253,264
20150722,5001,64,64
20150825,3101,3074,3220
20150903,3702,1,1
20150928,1201,464,599
20151015,3205,447,472
20151125,5101,2100,2218
20151126,2102,6,6
20151228,3201,715,894
20151231,5001,1331,1429
20160101,6101,97,113
20160204,4201,144,175
20160208,4501,1,1
20160212,3302,3,3
20160217,4419,26,34
20160307,2301,64,66
20160310,4101,11,11
20160314,4401,531,558
20160321,6501,4,4
20160322,3502,18,18
20160404,4403,653,721
20160413,2201,126,155
20160420,4301,36,40
20160421,1302,5,5
20160428,3205,124,153
20160530,4501,53,53
20160605,3302,4,4
20160703,4101,18,18
20160707,4401,560,585
20160711,3202,22,24
20160714,6501,20,20
20160715,3502,17,17
20160806,2201,145,152
20160813,4301,22,23
20160825,3702,9,9
20160912,2101,110,110
20160923,4501,125,134
20161003,6101,59,61
20161106,4201,139,156
20161114,3302,19,19
20161119,4419,15,22
20161209,2301,176,189
20161212,4101,35,35
20161216,4401,754,803
20161220,3202,19,19
20161223,6501,129,142
20161224,3502,41,41
20170102,3703,1,1
20170119,2101,103,103
20170126,4201,70,72
20170326,4403,904,1007
20170405,3701,216,216
20170416,6101,84,92
20170519,4201,503,558
20170527,3302,16,16
20170610,1401,194,204
20170625,4101,15,15
20170629,4401,1084,1138
20170719,4403,1613,1751
20170728,2201,89,89
20170809,6101,213,237
20171004,3703,6,6
20171028,4201,1025,1036
20171111,6540,101,101
20171224,4103,241,246
20171228,4403,3209,3301
20180102,4304,58,58
20180107,3301,3041,3377
20180110,5101,10998,11139
20180111,2102,577,596
20180125,4409,13,13
20180130,4451,146,146
20180131,4420,18,18
20180131,6540,157,176
20180206,1101,72364,75906
20180213,3201,783,817
20180217,3501,42,42
20180220,5301,108,108
20180228,4205,58,58
20180301,4113,159,161
20180305,4413,231,238
20180307,3503,260,272
20180316,1301,158,158
20180323,3401,422,425
20180327,3701,291,295
20180408,4209,4,4
20180416,3310,177,179
20180417,3703,324,324
20180422,1201,1470,1706
20180423,3714,160,160
20180424,4107,90,90
20180428,4407,54,55
20180429,1408,11,11
20180503,3405,28,28
20180503,5101,11145,11275
20180504,2102,685,742
20180515,4502,93,93
20180518,4409,471,471
20180522,3210,258,258
20180523,4451,535,535
20180524,4420,114,116
20180524,6540,139,144
20180529,5113,289,293
20180602,532901,24,24
20180606,3201,1157,1207
20180612,3212,697,709
20180613,4453,277,277
20180613,5301,418,426
20180614,2302,105,107
20180619,5115,43,43
20180621,4402,38,38
20180625,1310,499,502
20180629,3306,129,129
20180703,3607,447,447
20180703,5303,145,145
20180709,1301,657,674
20180709,5117,30,30
20180711,4404,44,53
20180712,3101,25384,26203
20180714,4311,137,137
20180716,3401,635,636
20180719,3308,247,247
20180720,2202,589,589
20180722,3412,632,632
20140722,4401,3,3
20140812,4403,4,4
20141231,4401,39,39
20150824,6101,9,9
20150927,4201,601,722
20151102,3301,1885,2167
20151201,1101,18609,19013
20151205,1401,26,30
20151228,3202,17,17
20160115,1201,399,543
20160122,3301,856,1060
20160221,1101,10734,11916
20160225,1401,52,54
20160302,5001,432,480
20160331,1301,14,20
20160405,3101,3774,3902
20160508,1201,959,1258
20160515,3301,1522,1766
20160614,1101,21107,22429
20160618,1401,49,55
20160621,3201,577,690
20160724,1301,16,18
20160801,3205,67,72
20160830,1201,299,374
20160908,3301,1414,1667
20160911,5101,1837,1972
20160912,2102,43,45
20161017,1201,412,498
20161024,3301,1574,1726
20161123,1101,34777,37153
20161127,1401,79,79
20161130,3201,561,612
20161204,5001,600,654
20161208,5301,10,10
20170110,4501,184,192
20170118,5101,4313,4545
20170119,2102,108,118
20170224,5001,933,975
20170228,5301,7,7
20170327,3101,10033,10287
20170330,3205,48,52
20170405,3702,13,13
20170503,4501,260,275
20170512,4419,35,60
20170602,2301,211,217
20170617,5001,998,1031
20170723,3205,26,27
20170817,5203,3,3
20170905,4419,37,40
20170929,1101,95252,97413
20171001,2101,136,136
20171012,4501,676,701
20171021,4419,32,32
20171110,3604,7,7
20171111,2301,359,360
20171126,5001,968,978
20171216,3307,41,44
20171228,4404,6,6
20171229,3101,26620,27474
20180107,3302,16,16
20180130,3604,16,18
20180130,4452,77,77
20180131,2301,229,230
20180205,4101,405,409
20180209,4401,2343,2530
20180213,3202,14,14
20180216,6501,31,35
20180217,3502,4,4
20180303,3204,373,380
20180305,4414,109,109
20180308,2201,127,130
20180315,4301,191,191
20180316,1302,288,288
20180317,420607,385,407
20180319,4601,323,323
20180322,6401,4,4
20180323,3402,208,208
20180327,3702,66,70
20180406,1304,36,36
20180408,4210,42,42
