cd_holiday_ymd.dt_ymd,cd_holiday_ymd.lunar_calendar,cd_holiday_ymd.is_holiday,cd_holiday_ymd.festival,cd_holiday_ymd.is_weekend
20160101,2015年十一月廿二,1,元旦,0
20160102,2015年十一月廿三,1,null,1
20160103,2015年十一月廿四,1,null,2
20160104,2015年十一月廿五,0,null,0
20160105,2015年十一月廿六,0,null,0
20160106,2015年十一月廿七,0,小寒,0
20160107,2015年十一月廿八,0,null,0
20160108,2015年十一月廿九,0,null,0
20160109,2015年十一月三十,1,null,1
20160110,2015年十二月初一,1,null,2
20160111,2015年十二月初二,0,null,0
20160112,2015年十二月初三,0,null,0
20160113,2015年十二月初四,0,null,0
20160114,2015年十二月初五,0,null,0
20160115,2015年十二月初六,0,null,0
20160116,2015年十二月初七,1,null,1
20160117,2015年十二月初八,1,腊八节,2
20160118,2015年十二月初九,0,null,0
20160119,2015年十二月初十,0,null,0
20160120,2015年十二月十一,0,大寒,0
20160121,2015年十二月十二,0,null,0
20160122,2015年十二月十三,0,null,0
20160123,2015年十二月十四,1,null,1
20160124,2015年十二月十五,1,null,2
20160125,2015年十二月十六,0,null,0
20160126,2015年十二月十七,0,null,0
20160127,2015年十二月十八,0,null,0
20160128,2015年十二月十九,0,null,0
20160129,2015年十二月二十,0,null,0
20160130,2015年十二月廿一,1,null,1
20160131,2015年十二月廿二,1,null,2
20160201,2015年十二月廿三,0,null,0
20160202,2015年十二月廿四,0,小年,0
20160203,2015年十二月廿五,0,null,0
20160204,2015年十二月廿六,0,立春,0
20160205,2015年十二月廿七,0,null,0
20160206,2015年十二月廿八,0,null,1
20160207,2015年十二月廿九,1,除夕,2
20160208,2016年正月初一,1,春节,0
20160213,2016年正月初六,1,null,1
20160214,2016年正月初七,0,情人节,2
20160215,2016年正月初八,0,null,0
20160216,2016年正月初九,0,null,0
20160217,2016年正月初十,0,null,0
20160218,2016年正月十一,0,null,0
20160219,2016年正月十二,0,雨水,0
20160220,2016年正月十三,1,null,1
20160221,2016年正月十四,1,null,2
20160222,2016年正月十五,0,元宵节,0
20160223,2016年正月十六,0,null,0
20160224,2016年正月十七,0,null,0
20160225,2016年正月十八,0,null,0
20160226,2016年正月十九,0,null,0
20160227,2016年正月二十,1,null,1
20160228,2016年正月廿一,1,null,2
20160229,2016年正月廿二,0,null,0
20160301,2016年正月廿三,0,null,0
20160302,2016年正月廿四,0,null,0
20160303,2016年正月廿五,0,null,0
20160304,2016年正月廿六,0,null,0
20160305,2016年正月廿七,1,惊蛰,1
20160306,2016年正月廿八,1,null,2
20160307,2016年正月廿九,0,null,0
20160308,2016年正月三十,0,妇女节,0
20160309,2016年二月初一,0,null,0
20160310,2016年二月初二,0,龙抬头,0
20160311,2016年二月初三,0,null,0
20160312,2016年二月初四,1,植树节,1
20160313,2016年二月初五,1,null,2
20160314,2016年二月初六,0,null,0
20160315,2016年二月初七,0,null,0
20160316,2016年二月初八,0,null,0
20160317,2016年二月初九,0,null,0
20160318,2016年二月初十,0,null,0
20160319,2016年二月十一,1,null,1
20160320,2016年二月十二,1,春分,2
20160321,2016年二月十三,0,null,0
20160322,2016年二月十四,0,null,0
20160323,2016年二月十五,0,null,0
20160324,2016年二月十六,0,null,0
20160325,2016年二月十七,0,null,0
20160326,2016年二月十八,1,null,1
20160327,2016年二月十九,1,复活节,2
20160328,2016年二月二十,0,null,0
20160329,2016年二月廿一,0,null,0
20160330,2016年二月廿二,0,null,0
20160331,2016年二月廿三,0,null,0
20160401,2016年二月廿四,0,愚人节,0
20160402,2016年二月廿五,1,null,1
20160403,2016年二月廿六,1,null,2
20160404,2016年二月廿七,1,清明,0
20160405,2016年二月廿八,0,null,0
20160406,2016年二月廿九,0,null,0
20160407,2016年三月初一,0,null,0
20160408,2016年三月初二,0,null,0
20160409,2016年三月初三,1,null,1
20160410,2016年三月初四,1,null,2
20160411,2016年三月初五,0,null,0
20160412,2016年三月初六,0,null,0
20160413,2016年三月初七,0,null,0
20160414,2016年三月初八,0,null,0
20160415,2016年三月初九,0,null,0
20160416,2016年三月初十,1,null,1
20160417,2016年三月十一,1,null,2
20160418,2016年三月十二,0,null,0
20160419,2016年三月十三,0,谷雨,0
20160420,2016年三月十四,0,null,0
20160421,2016年三月十五,0,null,0
20160422,2016年三月十六,0,null,0
20160423,2016年三月十七,1,null,1
20160424,2016年三月十八,1,null,2
20160425,2016年三月十九,0,null,0
20160426,2016年三月二十,0,null,0
20160427,2016年三月廿一,0,null,0
20160428,2016年三月廿二,0,null,0
20160429,2016年三月廿三,0,null,0
20160430,2016年三月廿四,1,null,1
20160501,2016年三月廿五,1,劳动节,2
20160502,2016年三月廿六,1,null,0
20160503,2016年三月廿七,0,null,0
20160504,2016年三月廿八,0,青年节,0
20160505,2016年三月廿九,0,立夏,0
20160506,2016年三月三十,0,null,0
20160507,2016年四月初一,1,null,1
20160508,2016年四月初二,1,母亲节,2
20160509,2016年四月初三,0,null,0
20160510,2016年四月初四,0,null,0
20160511,2016年四月初五,0,null,0
20160512,2016年四月初六,0,null,0
20160513,2016年四月初七,0,null,0
20160514,2016年四月初八,1,null,1
20160515,2016年四月初九,1,null,2
20160516,2016年四月初十,0,null,0
20160517,2016年四月十一,0,null,0
20160518,2016年四月十二,0,null,0
20160519,2016年四月十三,0,519,0
20160520,2016年四月十四,0,520,0
20160521,2016年四月十五,1,521,1
20160522,2016年四月十六,1,null,2
20160523,2016年四月十七,0,null,0
20160524,2016年四月十八,0,null,0
20160525,2016年四月十九,0,null,0
20160526,2016年四月二十,0,null,0
20160527,2016年四月廿一,0,null,0
20160528,2016年四月廿二,1,null,1
20160529,2016年四月廿三,1,null,2
20160530,2016年四月廿四,0,null,0
20160531,2016年四月廿五,0,无烟日,0
20160601,2016年四月廿六,0,儿童节,0
20160602,2016年四月廿七,0,null,0
20160603,2016年四月廿八,0,null,0
20160604,2016年四月廿九,1,null,1
20160605,2016年五月初一,1,芒种,2
20160606,2016年五月初二,0,null,0
20160607,2016年五月初三,0,null,0
20160608,2016年五月初四,0,null,0
20160609,2016年五月初五,1,端午节,0
20160610,2016年五月初六,1,null,0
20160611,2016年五月初七,1,null,1
20160612,2016年五月初八,0,null,2
20160613,2016年五月初九,0,null,0
20160614,2016年五月初十,0,null,0
20160615,2016年五月十一,0,null,0
20160616,2016年五月十二,0,null,0
20160617,2016年五月十三,0,null,0
20160618,2016年五月十四,1,618,1
20160619,2016年五月十五,1,父亲节,2
20160620,2016年五月十六,0,null,0
20160621,2016年五月十七,0,夏至,0
20160622,2016年五月十八,0,null,0
20160623,2016年五月十九,0,null,0
20160624,2016年五月二十,0,null,0
20160625,2016年五月廿一,1,null,1
20160626,2016年五月廿二,1,null,2
20160627,2016年五月廿三,0,null,0
20160628,2016年五月廿四,0,null,0
20160629,2016年五月廿五,0,null,0
20160630,2016年五月廿六,0,null,0
20160701,2016年五月廿七,0,建党日,0
20160702,2016年五月廿八,1,null,1
20160703,2016年五月廿九,1,null,2
20160704,2016年六月初一,0,null,0
20160705,2016年六月初二,0,null,0
20160706,2016年六月初三,0,接吻日,0
20160707,2016年六月初四,0,小暑,0
20160708,2016年六月初五,0,null,0
20160709,2016年六月初六,1,null,1
20160710,2016年六月初七,1,null,2
20160711,2016年六月初八,0,null,0
20160712,2016年六月初九,0,null,0
20160713,2016年六月初十,0,null,0
20160714,2016年六月十一,0,null,0
20160715,2016年六月十二,0,null,0
20160716,2016年六月十三,1,null,1
20160717,2016年六月十四,1,null,2
20160718,2016年六月十五,0,null,0
20160719,2016年六月十六,0,null,0
20160720,2016年六月十七,0,null,0
20160721,2016年六月十八,0,null,0
20160722,2016年六月十九,0,大暑,0
20160723,2016年六月二十,1,null,1
20160724,2016年六月廿一,1,null,2
20160725,2016年六月廿二,0,null,0
20160726,2016年六月廿三,0,null,0
20160727,2016年六月廿四,0,null,0
20160728,2016年六月廿五,0,null,0
20160729,2016年六月廿六,0,null,0
20160730,2016年六月廿七,1,null,1
20160731,2016年六月廿八,1,null,2
20160801,2016年六月廿九,0,建军节,0
20160802,2016年六月三十,0,null,0
20160803,2016年七月初一,0,null,0
20160804,2016年七月初二,0,null,0
20160805,2016年七月初三,0,null,0
20160806,2016年七月初四,1,null,1
20160807,2016年七月初五,1,立秋,2
20160808,2016年七月初六,0,null,0
20160809,2016年七月初七,0,七夕节,0
20160810,2016年七月初八,0,null,0
20160811,2016年七月初九,0,null,0
20160812,2016年七月初十,0,null,0
20160813,2016年七月十一,1,null,1
20160814,2016年七月十二,1,null,2
20160815,2016年七月十三,0,null,0
20160816,2016年七月十四,0,null,0
20160817,2016年七月十五,0,null,0
20160818,2016年七月十六,0,null,0
20160819,2016年七月十七,0,null,0
20160820,2016年七月十八,1,null,1
20160821,2016年七月十九,1,null,2
20160822,2016年七月二十,0,null,0
20160823,2016年七月廿一,0,处暑,0
20160824,2016年七月廿二,0,null,0
20160825,2016年七月廿三,0,null,0
20160826,2016年七月廿四,0,null,0
20160827,2016年七月廿五,1,null,1
20160828,2016年七月廿六,1,null,2
20160829,2016年七月廿七,0,null,0
20160830,2016年七月廿八,0,null,0
20160831,2016年七月廿九,0,null,0
20160901,2016年八月初一,0,null,0
20160902,2016年八月初二,0,null,0
20160903,2016年八月初三,1,null,1
20160904,2016年八月初四,1,null,2
20160905,2016年八月初五,0,null,0
20160906,2016年八月初六,0,null,0
20160907,2016年八月初七,0,白露,0
20160908,2016年八月初八,0,null,0
20160909,2016年八月初九,0,null,0
20160910,2016年八月初十,1,教师节,1
20160911,2016年八月十一,1,null,2
20160912,2016年八月十二,0,null,0
20160913,2016年八月十三,0,null,0
20160914,2016年八月十四,0,null,0
20160915,2016年八月十五,1,中秋节,0
20160916,2016年八月十六,1,null,0
20160917,2016年八月十七,1,null,1
20160918,2016年八月十八,0,null,2
20160919,2016年八月十九,0,null,0
20160920,2016年八月二十,0,null,0
20160921,2016年八月廿一,0,null,0
20160922,2016年八月廿二,0,秋分,0
20160923,2016年八月廿三,0,null,0
20160924,2016年八月廿四,1,null,1
20160925,2016年八月廿五,1,null,2
20160926,2016年八月廿六,0,null,0
20160927,2016年八月廿七,0,null,0
20160928,2016年八月廿八,0,null,0
20160929,2016年八月廿九,0,null,0
20160930,2016年八月三十,0,null,0
20161001,2016年九月初一,1,国庆节,1
20161002,2016年九月初二,1,null,2
20161003,2016年九月初三,1,null,0
20161004,2016年九月初四,1,null,0
20161005,2016年九月初五,1,null,0
20161006,2016年九月初六,1,null,0
20161007,2016年九月初七,1,null,0
20161008,2016年九月初八,0,寒露,1
20161009,2016年九月初九,0,重阳节,2
20161010,2016年九月初十,0,null,0
20161011,2016年九月十一,0,null,0
20161012,2016年九月十二,0,null,0
20161013,2016年九月十三,0,null,0
20161014,2016年九月十四,0,null,0
20161015,2016年九月十五,1,null,1
20161016,2016年九月十六,1,null,2
20161017,2016年九月十七,0,null,0
20161018,2016年九月十八,0,null,0
20161019,2016年九月十九,0,null,0
20161020,2016年九月二十,0,null,0
20161021,2016年九月廿一,0,null,0
20161022,2016年九月廿二,1,null,1
20161023,2016年九月廿三,1,霜降,2
20161024,2016年九月廿四,0,null,0
20161025,2016年九月廿五,0,null,0
20161026,2016年九月廿六,0,null,0
20161027,2016年九月廿七,0,null,0
20161028,2016年九月廿八,0,null,0
20161029,2016年九月廿九,1,null,1
20161030,2016年九月三十,1,null,2
20161031,2016年十月初一,0,万圣节,0
20161101,2016年十月初二,0,null,0
20161102,2016年十月初三,0,null,0
20161103,2016年十月初四,0,null,0
20161104,2016年十月初五,0,null,0
20161105,2016年十月初六,1,null,1
20161106,2016年十月初七,1,null,2
20161107,2016年十月初八,0,立冬,0
20161108,2016年十月初九,0,null,0
20161109,2016年十月初十,0,null,0
20161110,2016年十月十一,0,null,0
20161111,2016年十月十二,0,双十一,0
20161112,2016年十月十三,1,null,1
20161113,2016年十月十四,1,null,2
20161114,2016年十月十五,0,null,0
20161115,2016年十月十六,0,null,0
20161116,2016年十月十七,0,null,0
20161117,2016年十月十八,0,null,0
20161118,2016年十月十九,0,null,0
20161119,2016年十月二十,1,null,1
20161120,2016年十月廿一,1,null,2
20161121,2016年十月廿二,0,null,0
20161122,2016年十月廿三,0,小雪,0
20161123,2016年十月廿四,0,null,0
20161124,2016年十月廿五,0,null,0
20161125,2016年十月廿六,0,null,0
20161126,2016年十月廿七,1,感恩节,1
20161127,2016年十月廿八,1,null,2
20161128,2016年十月廿九,0,null,0
20161129,2016年十一月初一,0,null,0
20161130,2016年十一月初二,0,null,0
20161201,2016年十一月初三,0,null,0
20161202,2016年十一月初四,0,null,0
20161203,2016年十一月初五,1,null,1
20161204,2016年十一月初六,1,null,2
20161205,2016年十一月初七,0,null,0
20161206,2016年十一月初八,0,null,0
20161207,2016年十一月初九,0,大雪,0
20161208,2016年十一月初十,0,null,0
20161209,2016年十一月十一,0,null,0
20161210,2016年十一月十二,1,null,1
20161211,2016年十一月十三,1,null,2
20161212,2016年十一月十四,0,双十二,0
20161213,2016年十一月十五,0,null,0
20161214,2016年十一月十六,0,null,0
20161215,2016年十一月十七,0,null,0
20161216,2016年十一月十八,0,null,0
20161217,2016年十一月十九,1,null,1
20161218,2016年十一月二十,1,null,2
20161219,2016年十一月廿一,0,null,0
20161220,2016年十一月廿二,0,null,0
20161221,2016年十一月廿三,0,冬至,0
20161222,2016年十一月廿四,0,null,0
20161223,2016年十一月廿五,0,null,0
20161224,2016年十一月廿六,1,平安夜,1
20161225,2016年十一月廿七,1,圣诞节,2
20161226,2016年十一月廿八,0,null,0
20161227,2016年十一月廿九,0,null,0
20161228,2016年十一月三十,0,null,0
20161229,2016年十二月初一,0,null,0
20161230,2016年十二月初二,0,null,0
20161231,2016年十二月初三,1,null,1
20180101,2017年十一月十五,1,元旦,0
20180102,2017年十一月十六,0,null,0
20180103,2017年十一月十七,0,null,0
20180104,2017年十一月十八,0,null,0
20180105,2017年十一月十九,0,小寒,0
20180106,2017年十一月二十,1,null,1
20180107,2017年十一月廿一,1,null,2
20180108,2017年十一月廿二,0,null,0
20180109,2017年十一月廿三,0,null,0
20180110,2017年十一月廿四,0,null,0
20180111,2017年十一月廿五,0,null,0
20180112,2017年十一月廿六,0,null,0
20180113,2017年十一月廿七,1,null,1
20180114,2017年十一月廿八,1,null,2
20180115,2017年十一月廿九,0,null,0
20180116,2017年十一月三十,0,null,0
20180117,2017年十二月初一,0,null,0
