dt_ymd,lunar_calendar,is_holiday,festival,is_weekend
20160101,2015年十一月廿二,1,元旦,0
20160102,2015年十一月廿三,1,假期,1
20160103,2015年十一月廿四,1,假期,2

20160117,2015年十二月初八,1,腊八节,2

20160202,2015年十二月廿四,0,小年,0

20160206,2015年十二月廿八,0,加班,1
20160207,2015年十二月廿九,1,除夕,2
20160208,2016年正月初一,1,春节,0

20160214,2016年正月初七,0,情人节,2
20160214,2016年正月初七,0,加班,2


20160222,2016年正月十五,0,元宵节,0

20160308,2016年正月三十,0,妇女节,0

20160401,2016年二月廿四,0,假前,0

20160402,2016年二月廿五,1,假期,1
20160403,2016年二月廿六,1,假期,2
20160404,2016年二月廿七,1,清明,0

20160429,2016年三月廿三,0,假前,0
20160430,2016年三月廿四,1,假期,1
20160501,2016年三月廿五,1,劳动节,2
20160502,2016年三月廿六,1,假期,0

20160504,2016年三月廿八,0,青年节,0

20160508,2016年四月初二,1,母亲节,2

20160601,2016年四月廿六,0,儿童节,0

20160608,2016年五月初四,0,假前,0
20160609,2016年五月初五,1,端午节,0
20160610,2016年五月初六,1,假期,0
20160611,2016年五月初七,1,假期,1
20160612,2016年五月初八,0,加班,2

20160619,2016年五月十五,1,父亲节,2

20160701,2016年五月廿七,0,建党日,0


20160801,2016年六月廿九,0,建军节,0

20160809,2016年七月初七,0,七夕节,0


20160910,2016年八月初十,1,教师节,1

20160914,2016年八月十四,0,假前,0
20160915,2016年八月十五,1,中秋节,0
20160916,2016年八月十六,1,假期,0
20160917,2016年八月十七,1,假期,1
20160918,2016年八月十八,0,加班,2

20160930,2016年八月三十,0,假前,0
20161001,2016年九月初一,1,国庆节,1

20161008,2016年九月初八,0,加班,1
20161009,2016年九月初九,0,重阳节,2
20161009,2016年九月初九,0,加班,2

20161031,2016年十月初一,0,万圣节,0

20161111,2016年十月十二,0,双十一,0

20161126,2016年十月廿七,1,感恩节,1

20161212,2016年十一月十四,0,双十二,0

20161224,2016年十一月廿六,1,平安夜,1
20161225,2016年十一月廿七,1,圣诞节,2

20161230,2016年十一月廿七,1,假前,2
20161231,2016年十一月廿七,1,假期,2
20170101,2016年十二月初四,0,元旦,0
20170102,2016年十二月初五,0,假期,0
20170122,2016年十二月廿五,0,加班,0

20170127,2016年十二月三十,1,除夕,0
20170128,2017年正月初一,1,春节,1
20170203,2017年正月初一,1,春节收假,1

20170204,2017年正月初八,0,加班,1

20170211,2017年正月十五,1,元宵节,1

20170214,2017年正月十八,0,情人节,0

20170308,2017年二月十一,0,妇女节,0

20170401,2017年三月初五,0,加班,1
20170401,2017年三月初五,0,假前,1
20170402,2017年三月初六,1,假期,2
20170403,2017年三月初七,1,假期,0
20170404,2017年三月初八,1,清明,0

20170428,2017年四月初三,0,假前,0
20170429,2017年四月初四,1,假期,1
20170430,2017年四月初五,1,假期,2
20170501,2017年四月初六,1,劳动节,0

20170504,2017年四月初九,0,青年节,0

20170514,2017年四月十九,1,母亲节,2

20170527,2017年五月初二,0,加班,1
20170528,2017年五月初三,1,假期,2
20170529,2017年五月初四,1,假期,0
20170530,2017年五月初五,1,端午节,0

20170601,2017年五月初七,0,儿童节,0

20170618,2017年五月廿四,1,父亲节,2

20170701,2017年六月初八,1,建党日,1

20170801,2017年六月初十,0,建军节,0
20170828,2017年七月初七,1,七夕节,2

20170910,2017年七月二十,1,教师节,2

20170930,2017年八月十一,0,加班,1
20170930,2017年八月十一,0,假前,1
20171001,2017年八月十二,1,国庆节,2

20171004,2017年八月十五,1,中秋节,0


20171027,2017年九月初八,0,重阳节,0

20171031,2017年九月十二,0,万圣节,0

20171111,2017年九月廿三,1,双十一,1

20171126,2017年十月初九,1,感恩节,2

20171212,2017年十月廿五,0,双十二,0

20171224,2017年十一月初七,1,平安夜,2
20171225,2017年十一月初八,0,圣诞节,0

20171229,2017年十一月十二,0,假前,0
20171230,2017年十一月十三,1,假期,1
20171231,2017年十一月十四,1,假期,2

20180101,2017年十一月十五,1,元旦,0

20180209,2017年十二月廿四,0,小年,0

20180211,2017年十二月廿六,0,加班,2

20180214,2017年十二月廿九,0,情人节,0
20180215,2017年十二月三十,1,除夕,0
20180216,2018年正月初一,1,春节,0
20180222,2018年正月初一,1,春节收假,0

20180224,2018年正月初九,0,加班,1

20180302,2018年正月十五,0,元宵节,0

20180308,2018年正月廿一,0,妇女节,0

20180312,2018年正月廿五,0,植树节,0

20180404,2018年二月十九,0,假前,0
20180405,2018年二月二十,1,清明,0
20180406,2018年二月廿一,1,假期,0
20180407,2018年二月廿二,1,假期,1
20180408,2018年二月廿三,0,加班,2
20180428,2018年三月十三,0,加班,1
20180429,2018年三月十四,1,假期,2
20180430,2018年三月十五,1,假期,0
20180501,2018年三月十六,1,劳动节,0

20180504,2018年三月十九,0,青年节,0

20180513,2018年三月廿八,1,母亲节,2

20180601,2018年四月十八,0,儿童节,0

20180615,2018年五月初二,0,假前,0
20180616,2018年五月初三,1,假期,1
20180617,2018年五月初四,1,父亲节,2
20180618,2018年五月初五,1,端午节,0

20180701,2018年五月十八,1,建党日,2

20180801,2018年六月二十,0,建军节,0

20180817,2018年七月初七,0,七夕节,0

20180910,2018年八月初一,0,教师节,0

20180921,2018年八月十二,0,假前,0
20180922,2018年八月十三,1,假期,1
20180923,2018年八月十四,1,假期,2
20180924,2018年八月十五,1,中秋节,0

20180929,2018年八月二十,0,加班,1
20180930,2018年八月廿一,0,加班,2
20180930,2018年八月廿一,0,假前,2
20181001,2018年八月廿二,1,国庆节,0


20181017,2018年九月初九,0,重阳节,0

20181031,2018年九月廿三,0,万圣节,0

20181111,2018年十月初四,1,双十一,2

20181126,2018年十月十九,0,感恩节,0

20181212,2018年十一月初六,0,双十二,0

20181224,2018年十一月十八,0,平安夜,0
20181225,2018年十一月十九,0,圣诞节,0
