dt_ymd,_c2
20160102,13383
20160103,12965
20160104,13236
20160105,13587
20160106,14066
20160107,15041
20160108,18191
20160109,15502
20160110,15304
20160111,17294
20160112,18324
20160113,17334
20160114,17244
20160115,20013
20160116,20493
20160117,24688
20160118,23649
20160119,19802
20160120,19362
20160121,20431
20160122,26014
20160123,21713
20160124,17562
20160125,15162
20160126,15582
20160127,16096
20160128,15802
20160129,17911
20160130,16280
20160131,14464
20160201,17203
20160202,15121
20160203,13599
20160204,11544
20160205,8584
20160206,5515
20160207,2471
20160208,2060
20160209,2170
20160210,2498
20160211,2835
20160212,4485
20160213,7999
20160214,13962
20160215,11123
20160216,9796
20160217,9601
20160218,10232
20160219,12742
20160220,13302
20160221,11733
20160222,16022
20160223,11491
20160224,11520
20160225,12187
20160226,14109
20160227,12304
20160228,13607
20160229,12475
20160301,12232
20160302,12209
20160303,12510
20160304,14726
20160305,12864
20160306,12272
20160307,19129
20160308,25871
20160309,13801
20160310,14706
20160311,15270
20160312,12662
20160313,11660
20160314,15496
20160315,13132
20160316,13030
20160317,13178
20160318,15008
20160319,11874
20160320,10507
20160321,12824
20160322,13053
20160323,13249
20160324,13622
20160325,15495
20160326,12017
20160327,10799
20160328,13111
20160329,13248
20160330,13180
20160331,13756
20160401,16823
20160402,10891
20160403,9530
20160404,8993
20160405,12160
20160406,12605
20160407,12655
20160408,14613
20160409,10594
20160410,9287
20160411,11991
20160412,13296
20160413,12009
20160414,12478
20160415,14373
20160416,10353
20160417,8633
20160418,12206
20160419,12291
20160420,11999
20160421,12189
20160422,14287
20160423,8960
20160424,8220
20160425,12384
20160426,13403
20160427,13206
20160428,14170
20160429,17706
20160430,8533
20160501,7400
20160502,15241
20160503,11336
20160504,11432
20160505,12855
20160506,17015
20160507,15412
20160508,21140
20160509,13430
20160510,12614
20160511,12877
20160512,15857
20160513,15877
20160514,16678
20160515,10135
20160516,14448
20160517,14830
20160518,15402
20160519,20585
20160520,29314
20160521,14320
20160522,11832
20160523,16325
20160524,15173
20160525,15098
20160526,15741
20160527,18665
20160528,12933
20160529,12170
20160530,16437
20160531,17466
20160601,23426
20160602,17011
20160603,19405
20160604,13984
20160605,13287
20160606,19346
20160607,20938
20160608,25464
20160609,15943
20160610,14047
20160611,12674
20160612,15594
20160613,18217
20160614,21761
20160615,19361
20160616,20839
20160617,24716
20160618,18138
20160619,18712
20160620,20512
20160621,20693
20160622,21193
20160623,20784
20160624,24965
20160625,18373
20160626,17040
20160627,22124
20160628,24965
20160629,21608
20160630,22423
20160701,24142
20160702,17031
20160703,16497
20160704,19705
20160705,19632
20160706,20683
20160707,21730
20160708,24490
20160709,19506
20160710,19580
20160711,23638
20160712,24283
20160713,23168
20160714,24504
20160715,32441
20160716,18404
20160717,16199
20160718,22601
20160719,24992
20160720,17231
20160721,24505
20160722,28650
20160723,21482
20160724,21957
20160725,21090
20160726,22176
20160727,23502
20160728,22677
20160729,26391
20160730,21081
20160731,15734
20160801,20970
20160802,19580
20160803,19702
20160804,21177
20160805,24694
20160806,18337
20160807,18134
20160808,28142
20160809,43006
20160810,23358
20160811,22733
20160812,28395
20160813,16775
20160814,15595
20160815,20234
