dt_ymd,city_id,_c2
20150102,3301,16
20150102,3101,34
20150102,4403,16
20150102,4401,16
20150102,1101,167
20150102,5101,13
20150103,4401,18
20150103,4403,8
20150103,3301,11
20150103,3101,26
20150103,1101,190
20150103,5101,14
20150104,5101,25
20150104,1101,231
20150104,4401,18
20150104,3101,68
20150104,3301,8
20150104,4403,10
20150105,3101,74
20150105,1101,315
20150105,4403,27
20150105,4401,17
20150105,3301,9
20150105,5101,26
20150106,5101,27
20150106,1101,236
20150106,3101,58
20150106,3301,21
20150106,4403,18
20150106,4401,8
20150107,4401,12
20150107,4403,11
20150107,5101,24
20150107,3301,17
20150107,1101,323
20150107,3101,68
20150108,5101,34
20150108,1101,368
20150108,3101,84
20150108,4401,18
20150108,4403,15
20150108,3301,21
20150109,4401,35
20150109,1101,540
20150109,4403,29
20150109,3101,60
20150109,5101,47
20150109,3301,24
20150110,4403,19
20150110,4401,20
20150110,5101,34
20150110,1101,366
20150110,3101,58
20150110,3301,12
20150111,3101,46
20150111,1101,293
20150111,3301,13
20150111,5101,35
20150111,4403,8
20150111,4401,13
20150112,3101,70
20150112,3301,34
20150112,5101,30
20150112,4401,31
20150112,1101,317
20150112,4403,22
20150113,5101,41
20150113,1101,340
20150113,3101,77
20150113,3301,37
20150113,4401,31
20150113,4403,11
20150114,1101,448
20150114,3101,80
20150114,4403,17
20150114,5101,41
20150114,3301,28
20150114,4401,21
20150115,1101,457
20150115,5101,42
20150115,3101,86
20150115,4401,45
20150115,4403,27
20150115,3301,35
20150116,3301,50
20150116,1101,668
20150116,4403,32
20150116,4401,44
20150116,3101,74
20150116,5101,33
20150117,5101,40
20150117,1101,525
20150117,4403,23
20150117,4401,20
20150117,3101,68
20150117,3301,30
20150118,4401,17
20150118,3101,62
20150118,1101,349
20150118,5101,18
20150118,4403,23
20150118,3301,31
20150119,5101,33
20150119,1101,479
20150119,4403,26
20150119,3301,28
20150119,3101,83
20150119,4401,24
20150120,3301,32
20150120,3101,89
20150120,1101,400
20150120,5101,52
20150120,4403,19
20150120,4401,21
20150121,1101,521
20150121,3101,81
20150121,3301,34
20150121,4401,19
20150121,4403,27
20150121,5101,25
20150122,5101,29
20150122,3101,86
20150122,4403,25
20150122,4401,19
20150122,1101,534
20150122,3301,27
20150123,4401,38
20150123,4403,105
20150123,1101,805
20150123,3301,67
20150123,5101,59
20150123,3101,145
20150124,4401,20
20150124,4403,27
20150124,3301,19
20150124,3101,75
20150124,1101,528
20150124,5101,24
20150125,4401,8
20150125,4403,31
20150125,5101,29
20150125,3101,50
20150125,1101,428
20150125,3301,22
20150126,1101,497
20150126,3101,105
20150126,3301,16
20150126,5101,32
20150126,4403,32
20150126,4401,22
20150127,3301,32
20150127,3101,95
20150127,4403,50
20150127,1101,496
20150127,4401,31
20150127,5101,40
20150128,4403,28
20150128,4401,35
20150128,1101,547
20150128,5101,31
20150128,3301,39
20150128,3101,136
20150129,3301,25
20150129,5101,41
20150129,4401,14
20150129,3101,129
20150129,1101,643
20150129,4403,48
20150130,3101,119
20150130,3301,41
20150130,5101,58
20150130,4403,47
20150130,4401,40
20150130,1101,769
20150131,4403,43
20150131,4401,22
20150131,3301,42
20150131,3101,77
20150131,5101,34
20150131,1101,667
20150201,5101,33
20150201,1101,477
20150201,4403,30
20150201,4401,8
20150201,3101,72
20150201,3301,19
20150202,4401,18
20150202,3101,108
20150202,1101,679
20150202,3301,42
20150202,4403,33
20150202,5101,42
20150203,1101,607
20150203,4403,33
20150203,5101,58
20150203,4401,28
20150203,3301,39
20150203,3101,87
20150204,3301,29
20150204,1101,833
20150204,4403,43
20150204,4401,53
20150204,3101,133
20150204,5101,42
20150205,4401,30
20150205,4403,45
20150205,3101,105
20150205,3301,48
20150205,5101,30
20150205,1101,729
20150206,4401,26
20150206,5101,49
20150206,3301,44
20150206,4403,50
20150206,3101,158
20150206,1101,978
20150207,5101,44
20150207,1101,730
20150207,4403,38
20150207,3101,93
20150207,3301,45
20150207,4401,19
20150208,1101,706
20150208,4403,68
20150208,4401,10
20150208,5101,43
20150208,3101,98
20150208,3301,46
20150209,4401,17
20150209,4403,69
20150209,3301,43
20150209,3101,164
20150209,1101,792
20150209,5101,65
20150210,1101,785
20150210,4403,67
20150210,5101,72
20150210,3101,172
20150210,4401,18
20150210,3301,44
20150211,3301,56
20150211,4403,87
20150211,4401,20
20150211,1101,1101
20150211,3101,210
20150211,5101,96
20150212,4401,59
20150212,4403,80
20150212,5101,108
20150212,1101,1280
