,dt_ymd,city_id,_c2
0,20140606,3101.0,4
1,20140705,3101.0,2
2,20140804,3101.0,7
3,20140903,3101.0,16
4,20141001,4401.0,1
5,20150209,3101.0,164
6,20150308,3101.0,191
7,20150407,3101.0,288
8,20150506,3101.0,487
9,20150605,3101.0,863
10,20150704,3101.0,1286
11,20150803,3101.0,2479
12,20150902,3101.0,3630
13,20150902,4301.0,1
14,20150902,6101.0,10
15,20151027,3702.0,11
16,20151116,3703.0,1
17,20151118,2201.0,33
18,20151126,1302.0,14
19,20151126,3702.0,33
20,20151217,2201.0,83
21,20151219,4419.0,12
22,20151225,1302.0,7
23,20151225,3702.0,65
24,20160109,1301.0,14
25,20160109,3101.0,2463
26,20160109,3701.0,54
27,20160109,4301.0,58
28,20160109,6101.0,99
29,20160127,2201.0,145
30,20160129,4419.0,7
31,20160208,1301.0,12
32,20160208,3101.0,306
33,20160208,3701.0,1
34,20160208,4301.0,1
35,20160208,6101.0,3
36,20160226,2201.0,103
37,20160228,4419.0,13
38,20160307,1301.0,107
39,20160307,3101.0,3978
40,20160307,3701.0,87
41,20160307,4301.0,61
42,20160307,6101.0,127
43,20160323,3703.0,1
44,20160325,2201.0,113
45,20160327,4419.0,30
46,20160406,1301.0,25
47,20160406,3101.0,5298
48,20160406,3701.0,66
49,20160406,4301.0,41
50,20160406,6101.0,117
51,20160422,3703.0,3
52,20160424,2201.0,144
53,20160426,4419.0,39
54,20160505,1301.0,20
55,20160505,3101.0,5397
56,20160505,3701.0,88
57,20160505,4301.0,30
58,20160505,6101.0,74
59,20160521,3703.0,5
60,20160523,2201.0,92
61,20160525,4419.0,26
62,20160531,1302.0,1
63,20160531,3702.0,10
64,20160604,1301.0,12
65,20160604,3101.0,3969
66,20160604,3701.0,73
67,20160604,4301.0,30
68,20160604,6101.0,80
69,20160622,2201.0,143
70,20160624,4419.0,22
71,20160630,1302.0,3
72,20160630,3702.0,16
73,20160703,1301.0,20
74,20160703,3101.0,3481
75,20160703,3701.0,95
76,20160703,4301.0,38
77,20160703,6101.0,65
78,20160721,2201.0,130
79,20160723,4419.0,26
80,20160802,1301.0,9
81,20160802,3101.0,6006
82,20160802,3701.0,130
83,20160802,4301.0,33
84,20160802,6101.0,75
85,20160820,2201.0,111
86,20160822,4419.0,19
87,20160901,1301.0,20
88,20160901,3101.0,6679
89,20160901,3701.0,119
90,20160901,4301.0,35
91,20160901,6101.0,84
92,20160921,4419.0,16
93,20161016,3703.0,2
94,20161018,2201.0,132
95,20161026,3702.0,11
96,20161117,2201.0,157
